law360_firm_id,law360_firm_name,Lawfirm,LawFirmId,AggregatedDealvalue,DealCount,dupe_MA,qualify_MA,notes_MA,combine_MA
MOR2268,Morrison Foerster,Morrison & Foerster,6795,"$9,200,000,000.00",2,,,,
,,Bennett Jones,234,"$9,175,900,000.00",13,,,,
CLA1319,Clark Hill,Clark Hill,4891,"$8,854,500,000.00",9,,,,
NEL6571,Nelson Mullins,Nelson Mullins Broad and Cassel,9305,"$8,736,954,334.00",25,,,,
,,Khaitan & Co,5175,"$8,729,000,000.00",2,,,,
,,Addleshaw Goddard,4843,"$8,661,338,814.00",5,,,,
HUS1476,Husch Blackwell,Husch Blackwell,5665,"$8,448,625,000.00",14,,,,
FOL2461,Foley & Lardner,Foley & Lardner,940,"$8,293,358,981.00",23,,,,
,,Cyril Amarchand Mangalda,7677,"$8,161,000,000.00",2,,,,
,,Nishith Desai Associates,6723,"$8,000,000,000.00",1,,,,
,,Touchstone Partners,9782,"$8,000,000,000.00",1,,,,
DOR5542,Dorsey & Whitney,Dorsey & Whitney,2822,"$7,837,809,751.00",35,,,,
,,JunHe,7178,"$7,837,751,361.00",3,,,,
,,Yigal Arnon & Co.,2771,"$7,745,250,625.00",4,,,,
,,Luse Gorman,9222,"$7,447,989,211.00",27,,,,
,,McMillan,4275,"$7,201,766,170.00",15,,,,
VED5333,Vedder Price,Vedder Price,2905,"$7,160,977,332.00",9,,,,
LOW6235,Lowenstein Sandler,Lowenstein Sandler,1621,"$7,118,700,000.00",22,,,,
,,Hengeler Mueller,5264,"$6,890,000,000.00",1,,,,
,,Homburger,9252,"$6,840,000,000.00",2,,,,
BAK2781,BakerHostetler,Baker & Hostetler,142,"$6,564,822,526.00",17,,,,
COZ2827,Cozen O'Connor,Cozen O'Connor,616,"$6,367,058,750.00",20,,,,
,,Kim & Chang,4124,"$6,116,971,427.00",4,,,,
SHE2206,Sheppard Mullin,"Sheppard, Mullin, Richter & Hampton",2890,"$5,617,500,000.00",39,,,,
,,Fasken,862,"$5,594,272,700.00",27,,,,
CAS9534,,Cassels Brock & Blackwell,461,"$5,580,877,024.00",18,,,,
,,Lenz & Staehelin,4175,"$5,400,000,000.00",1,,,,
BAS4068,Bass Berry,Bass Berry & Sims,198,"$5,202,574,000.00",23,,,,
,,"Greer, Herz & Adams",9441,"$5,100,000,000.00",1,,,,
WIG3642,,Wiggin,7534,"$4,924,314,720.00",2,,,,
HON6747,Honigman,Honigman,9545,"$4,900,476,430.00",11,,,,
,,Roschier,6164,"$4,858,000,000.00",4,,,,
LOC6957,Locke Lord,Locke Lord,1606,"$4,783,200,000.00",16,,,,
,,Harney Westwood & Riegels,5386,"$4,760,000,000.00",4,,,,
,,CMS Law Firm,9575,"$4,750,000,000.00",2,,,,
SEW3885,Seward & Kissel,Seward & Kissel,2315,"$4,616,000,000.00",4,,,,
BRU1422,,"Brunini, Grantham, Grower & Hewes",3491,"$4,530,000,000.00",1,,,,
,,Fishman Haygood,5628,"$4,530,000,000.00",1,,,,
,,Gornitzky,6011,"$4,477,500,000.00",6,,,,
WYR1851,,Wyrick Robbins Yates & Ponton,2768,"$4,473,898,615.00",13,,,,
,,Carey Olsen,8420,"$4,400,000,000.00",1,,,,
JON3152,Jones Walker,Jones Walker,1375,"$4,255,978,527.00",15,,,,
,,MJM,7691,"$4,200,000,000.00",1,,,,
,,Advokatfirmaet Schjoedt,8705,"$4,200,000,000.00",1,,,,
,,Travers Smith,5135,"$4,200,000,000.00",1,,,,
STR4257,Stroock,Stroock & Stroock & Lavan,2476,"$4,174,400,000.00",4,,,,
,,Appleby Global Services,7077,"$4,113,528,387.00",5,,,,
,,Houthoff,4954,"$4,078,890,781.00",1,,,,
,,STIBBE,6760,"$4,078,890,781.00",1,,,,
QUI6477,Quinn Emanuel,Quinn Emanuel Urquhart & Sullivan,9641,"$4,050,000,000.00",1,,,,
GOU6859,Goulston & Storrs,Goulston & Storrs,1083,"$4,049,013,312.00",4,,,,
PHE3946,Phelps Dunbar,Phelps Dunbar,2035,"$4,028,600,000.00",3,,,,
,,Harris Hagan,9682,"$4,000,000,000.00",1,,,,
REE5164,Reed Smith,Reed Smith,2884,"$3,985,194,672.00",23,,,,
SNE5955,Snell & Wilmer,Snell & Wilmer,2393,"$3,976,350,231.00",9,,,,
BRO3683,Brooks Pierce,"Brooks, Pierce, McLendon, Humphrey & Leonard",352,"$3,896,300,000.00",4,,,,
KEA2996,Keating Muething,Keating Muething & Klekamp,1430,"$3,688,000,000.00",5,,,,
,,Scudder Law Firm,2295,"$3,681,700,000.00",9,,,,
KAT3207,Katten,Katten Muchin Rosenman,1413,"$3,644,696,000.00",11,,,,
,,Ledgewood Law Firm,1549,"$3,616,400,000.00",4,,,,
,,Walkers Global,7571,"$3,600,000,000.00",2,,,,
OLS8852,Olshan Frome Wolosky,Olshan Frome Wolosky,1945,"$3,595,815,366.00",14,,,,
MAN8162,Manatt,"Manatt, Phelps & Phillips",2860,"$3,576,400,000.00",12,,,,
KIL2517,Kilpatrick,Kilpatrick Townsend & Stockton,5466,"$3,341,400,000.00",15,,,,
NEA5656,Neal Gerber,"Neal, Gerber & Eisenberg",7195,"$3,311,424,410.00",4,,,,
DAV3925,Davis Graham,Davis Graham & Stubbs,680,"$3,306,053,260.00",12,,,,
,,Allens,7429,"$3,210,888,888.00",3,,,,
AXI4590,Axinn Veltrop,"Axinn, Veltrop & Harkrider",3364,"$3,200,000,000.00",1,,,,
,,"Sherrard, German & Kelly",5062,"$3,200,000,000.00",1,,,,
BUC3095,Buchalter,Buchalter,5458,"$3,176,990,241.00",8,,,,
SAU2331,Saul Ewing,Saul Ewing Arnstein & Lehr,9209,"$3,079,844,000.00",8,,,,
FOX8115,Fox Rothschild,Fox Rothschild,955,"$3,007,350,000.00",14,,,,
,,Miller Titerle,9870,"$3,000,000,000.00",1,,,,
,,Mehigan,9871,"$3,000,000,000.00",1,,,,
,,Zemah Schneider & Partners,7800,"$3,000,000,000.00",1,,,,
,,Webber Wentzel,6567,"$2,936,817,058.00",1,,,,
,,BosseLaw,8627,"$2,900,000,000.00",1,,,,
GLO1459,,Global Law Office,3885,"$2,882,000,000.00",2,,,,
,,Chiomenti Studio Legale,7954,"$2,692,000,000.00",3,,,,
,,Akin & Almanza,6186,"$2,650,000,000.00",1,,,,
NIX1069,Nixon Peabody,Nixon Peabody,1908,"$2,603,506,700.00",10,,,,
BIR6692,,Bird & Bird,4866,"$2,550,000,000.00",3,,,,
BOD8933,Bodman,Bodman,294,"$2,510,000,000.00",3,,,,
,,Dickson Minto,6438,"$2,500,000,000.00",1,,,,
,,Croon Law Group,10071,"$2,500,000,000.00",1,,,,
,,Deacons,3707,"$2,500,000,000.00",1,,,,
MUN3551,,Munck Wilson Mandala,5245,"$2,440,250,000.00",2,,,,
,,Gide Loyrette & Nouel,1029,"$2,415,191,865.00",1,,,,
,,Wakefield Quin,7635,"$2,360,000,000.00",1,,,,
,,Borden Ladner Gervais,303,"$2,338,850,000.00",7,,,,
STI7341,Stinson,Stinson,9503,"$2,328,400,000.00",12,,,,
JEN6539,Jenner & Block,Jenner & Block,1348,"$2,262,439,550.00",8,,,,
,,Edward Nathan Sonnenbergs Inc,7638,"$2,242,000,000.00",2,,,,
BRY4196,Bryan Cave Leighton Paisner,Bryan Cave Leighton Paisner,2806,"$2,224,950,000.00",16,,,,
BAR8545,Barack Ferrazzano,Barack Ferrazzano Kirschbaum & Nagelberg,176,"$2,220,380,274.00",14,,,,
